id,department,code,chemicalName,tradeName,quantity,storage,use,hazards,ppe,updatedAt
DTCH-063,ทันตกรรม,063,fixer (น้ำยาคงสภาพภาพบนฟิล์ม),Carestream,1ขวด,ตู้เก็บของ,ล้างฟิล์ม,วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | เสื้อกันสารเคมี,
DTCH-064,ไม่ระบุหน่วยงาน,064,Formalin (Formaldehyde 37%),Formalin,,,,สารไวไฟ | วัตถุมีพิษ | สารกัดกร่อน | แก๊ส | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง | ประเภทอื่น ๆ,ถุงมือ | หน้ากาก | แว่นตา | เสื้อกันสารเคมี | รองเท้าบูท,
DTCH-065,LAB,065,Gram iodine (Gram stain),Gram iodine (Gram stain),2 ขวด,ห้องย้อมสี,ย้อมสี,วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | เสื้อกันสารเคมี,
DTCH-066,ผลิต,066,Hard paraffin,"P.C. Drug Center Co., Ltd.",20 kg,ห้องเตรียมยาใช้ภายนอก,เตรียมยาหม่อง,สารไวไฟ | ประเภทอื่น ๆ,ถุงมือ,
DTCH-067,ไม่ระบุหน่วยงาน,067,Hydrochloric acid 15% w/w + Ethoxylate alcohol 2.0% w/w,Duck pro เป็ดโปร,,,,วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | รองเท้าบูท,
DTCH-068,ไม่ระบุหน่วยงาน,068,Hydrogen Peroxide,Hydrogen Peroxide,,,,สารออกซิไดซ์ | สารกัดกร่อน,ถุงมือ | หน้ากาก | แว่นตา,
DTCH-069,OPD,069,Hydroxyethyl Cellulose,CLINIGEL,1×50 gm,ตู้เก็บน้ำยา,เจลหล่อลื่นใช้ตรวจภายใน,ประเภทอื่น ๆ,ถุงมือ,
DTCH-070,Skin,070,Isopropyl Alcohol 70% (Sheets),Alcohol Swab,1 กล่อง,ห้องผ่าตัด,เช็ดผิว,สารไวไฟ | วัตถุมีพิษ | แก๊ส | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ,
DTCH-071,OPD,071,Linear alkyl benzene sulfonate or Linear alkyl benzyl sulfonate,WAVE,1×2 ลิตร,ห้องเก็บของแม่บ้าน,น้ำยาทำความสะอาดกระจก,วัตถุมีพิษ,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-072,Skin,072,Liquid Nitrogen (ไนโตรเจนเหลว),Liquid Nitrogen,35 ลิตร,ถังแรงดัน / ห้องผ่าตัด,แช่แข็งตัวอย่าง,วัตถุมีพิษ | แก๊ส | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง | ประเภทอื่น ๆ,ถุงมือ | หน้ากาก | แว่นตา | เสื้อกันสารเคมี | รองเท้าบูท,
DTCH-073,ผลิต,073,liquid paraffin,"P.C. Drug Center Co., Ltd.",20 kg,ห้องเตรียมยาใช้ภายนอก,เตรียม cream base,สารไวไฟ | ประเภทอื่น ๆ,ถุงมือ | หน้ากาก,
DTCH-074,ผลิต,074,Menthol,บริษัท ฮงฮวด จำกัด,17 kg,ห้องเตรียมยาใช้ภายนอก,"เตรียมยาหม่อง, สเปรย์โฮมีโอพาธีย์",สารไวไฟ | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ,
DTCH-075,LAB,075,Methyl alcohol,Methyl alcohol,1 ขวด,ห้องย้อมสี,ย้อมสี,วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | เสื้อกันสารเคมี,
DTCH-076,LAB,076,Methylene blue,Methylene blue,1 ขวด,ห้องย้อมสี,ย้อมสี,วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | เสื้อกันสารเคมี,
DTCH-077,ผลิต,077,Methyl salicylate,บริษัท ฮงฮวด จำกัด,40 kg,ห้องเตรียมยาใช้ภายนอก,เตรียมยาหม่อง,สารไวไฟ | วัตถุมีพิษ | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ,
